AQI.Value,AQI.Category,CO.AQI.Value,CO.AQI.Category,Ozone.AQI.Value,Ozone.AQI.Category,NO2.AQI.Value,NO2.AQI.Category,PM2.5.AQI.Value,PM2.5.AQI.Category
58,2,1,1,43,1,5,1,58,2
45,1,1,1,32,1,7,1,45,1
50,1,1,1,41,1,0,1,50,1
68,2,0,1,24,1,0,1,68,2
46,1,1,1,46,1,2,1,31,1
67,2,1,1,44,1,2,1,67,2
77,2,3,1,7,1,8,1,77,2
63,2,1,1,33,1,1,1,63,2
42,1,0,1,19,1,0,1,42,1
59,2,1,1,27,1,0,1,59,2
35,1,0,1,17,1,0,1,35,1
444,6,2,1,111,3,1,1,391,6
60,2,2,1,60,2,3,1,55,2
48,1,1,1,48,1,0,1,12,1
32,1,1,1,32,1,0,1,26,1
56,2,0,1,32,1,1,1,56,2
32,1,1,1,32,1,1,1,30,1
29,1,0,1,29,1,2,1,29,1
28,1,0,1,19,1,0,1,28,1
34,1,1,1,25,1,2,1,34,1
18,1,0,1,8,1,0,1,18,1
68,2,1,1,32,1,1,1,68,2
89,2,1,1,22,1,1,1,89,2
208,5,3,1,152,4,1,1,208,5
58,2,2,1,29,1,12,1,58,2
53,2,1,1,40,1,6,1,53,2
35,1,1,1,35,1,3,1,34,1
37,1,1,1,25,1,2,1,37,1
35,1,1,1,32,1,3,1,35,1
39,1,1,1,25,1,2,1,39,1
122,3,1,1,49,1,0,1,122,3
40,1,1,1,40,1,2,1,34,1
58,2,0,1,32,1,1,1,58,2
303,6,1,1,48,1,0,1,260,5
30,1,0,1,16,1,1,1,30,1
193,4,0,1,38,1,0,1,193,4
36,1,1,1,36,1,0,1,30,1
49,1,1,1,30,1,0,1,49,1
32,1,1,1,14,1,1,1,32,1
28,1,1,1,22,1,4,1,28,1
21,1,1,1,21,1,1,1,13,1
63,2,2,1,40,1,0,1,63,2
30,1,1,1,1,1,0,1,30,1
32,1,1,1,30,1,1,1,32,1
48,1,1,1,5,1,4,1,48,1
80,2,1,1,62,2,4,1,80,2
182,4,14,1,1,1,23,1,182,4
356,6,1,1,60,2,0,1,284,5
62,2,1,1,44,1,5,1,62,2
191,4,2,1,133,3,2,1,191,4
150,4,1,1,41,1,0,1,150,4
53,2,0,1,27,1,0,1,53,2
226,5,1,1,48,1,1,1,226,5
16,1,0,1,12,1,0,1,16,1
34,1,1,1,34,1,1,1,17,1
30,1,1,1,27,1,2,1,30,1
55,2,2,1,26,1,12,1,55,2
73,2,1,1,20,1,1,1,73,2
46,1,1,1,46,1,0,1,14,1
48,1,1,1,16,1,0,1,48,1
103,3,1,1,25,1,1,1,103,3
46,1,0,1,30,1,2,1,46,1
43,1,1,1,43,1,2,1,39,1
52,2,1,1,44,1,4,1,52,2
500,6,1,1,40,1,0,1,464,6
36,1,0,1,16,1,0,1,36,1
39,1,0,1,39,1,0,1,23,1
58,2,1,1,25,1,9,1,58,2
24,1,0,1,7,1,1,1,24,1
52,2,1,1,4,1,3,1,52,2
56,2,1,1,21,1,6,1,56,2
76,2,2,1,15,1,17,1,76,2
95,2,3,1,23,1,8,1,95,2
25,1,1,1,3,1,0,1,25,1
40,1,1,1,30,1,1,1,40,1
78,2,1,1,46,1,1,1,78,2
47,1,1,1,47,1,2,1,27,1
42,1,1,1,31,1,1,1,42,1
39,1,1,1,14,1,2,1,39,1
37,1,1,1,30,1,1,1,37,1
50,1,1,1,23,1,0,1,50,1
190,4,2,1,98,2,1,1,190,4
62,2,1,1,18,1,13,1,62,2
